Date,Time,Air mass (press cor),Cos zenith
1/1/2005,0:00:00,-1.0000,-0.1559
1/1/2005,1:00:00,-1.0000,-0.1559
1/1/2005,2:00:00,-1.0000,-0.1559
1/1/2005,3:00:00,-1.0000,-0.1559
1/1/2005,4:00:00,-1.0000,-0.1559
1/1/2005,5:00:00,-1.0000,-0.1559
1/1/2005,6:00:00,-1.0000,-0.1559
1/1/2005,7:00:00,12.3873,0.0589
1/1/2005,8:00:00,3.1304,0.2807
1/1/2005,9:00:00,1.8468,0.4795
1/1/2005,10:00:00,1.3860,0.6401
1/1/2005,11:00:00,1.1817,0.7511
1/1/2005,12:00:00,1.1027,0.8051
1/1/2005,13:00:00,1.1119,0.7984
1/1/2005,14:00:00,1.2136,0.7313
1/1/2005,15:00:00,1.4573,0.6086
1/1/2005,16:00:00,2.0178,0.4386
1/1/2005,17:00:00,3.7493,0.2331
1/1/2005,18:00:00,26.5655,0.0110
1/1/2005,19:00:00,-1.0000,-0.1559
1/1/2005,20:00:00,-1.0000,-0.1559
1/1/2005,21:00:00,-1.0000,-0.1559
1/1/2005,22:00:00,-1.0000,-0.1559
1/1/2005,23:00:00,-1.0000,-0.1559
1/2/2005,0:00:00,-1.0000,-0.1559
1/2/2005,1:00:00,-1.0000,-0.1559
1/2/2005,2:00:00,-1.0000,-0.1559
1/2/2005,3:00:00,-1.0000,-0.1559
1/2/2005,4:00:00,-1.0000,-0.1559
1/2/2005,5:00:00,-1.0000,-0.1559
1/2/2005,6:00:00,-1.0000,-0.1559
1/2/2005,7:00:00,12.5958,0.0576
1/2/2005,8:00:00,3.1427,0.2796
1/2/2005,9:00:00,1.8497,0.4788
1/2/2005,10:00:00,1.3866,0.6398
1/2/2005,11:00:00,1.1814,0.7513
1/2/2005,12:00:00,1.1017,0.8058
1/2/2005,13:00:00,1.1103,0.7996
1/2/2005,14:00:00,1.2109,0.7329
1/2/2005,15:00:00,1.4527,0.6105
1/2/2005,16:00:00,2.0081,0.4407
1/2/2005,17:00:00,3.7150,0.2353
1/2/2005,18:00:00,25.5274,0.0130
1/2/2005,19:00:00,-1.0000,-0.1559
1/2/2005,20:00:00,-1.0000,-0.1559
1/2/2005,21:00:00,-1.0000,-0.1559
1/2/2005,22:00:00,-1.0000,-0.1559
1/2/2005,23:00:00,-1.0000,-0.1559
1/3/2005,0:00:00,-1.0000,-0.1559
1/3/2005,1:00:00,-1.0000,-0.1559
1/3/2005,2:00:00,-1.0000,-0.1559
1/3/2005,3:00:00,-1.0000,-0.1559
1/3/2005,4:00:00,-1.0000,-0.1559
1/3/2005,5:00:00,-1.0000,-0.1559
1/3/2005,6:00:00,-1.0000,-0.1559
1/3/2005,7:00:00,12.8020,0.0563
1/3/2005,8:00:00,3.1545,0.2785
1/3/2005,9:00:00,1.8523,0.4781
1/3/2005,10:00:00,1.3871,0.6395
1/3/2005,11:00:00,1.1810,0.7516
1/3/2005,12:00:00,1.1006,0.8066
1/3/2005,13:00:00,1.1086,0.8008
1/3/2005,14:00:00,1.2082,0.7346
1/3/2005,15:00:00,1.4480,0.6125
1/3/2005,16:00:00,1.9983,0.4429
1/3/2005,17:00:00,3.6810,0.2375
1/3/2005,18:00:00,24.5401,0.0149
1/3/2005,19:00:00,-1.0000,-0.1559
1/3/2005,20:00:00,-1.0000,-0.1559
1/3/2005,21:00:00,-1.0000,-0.1559
1/3/2005,22:00:00,-1.0000,-0.1559
1/3/2005,23:00:00,-1.0000,-0.1559
1/4/2005,0:00:00,-1.0000,-0.1559
1/4/2005,1:00:00,-1.0000,-0.1559
1/4/2005,2:00:00,-1.0000,-0.1559
1/4/2005,3:00:00,-1.0000,-0.1559
1/4/2005,4:00:00,-1.0000,-0.1559
1/4/2005,5:00:00,-1.0000,-0.1559
1/4/2005,6:00:00,-1.0000,-0.1559
1/4/2005,7:00:00,13.0054,0.0550
1/4/2005,8:00:00,3.1656,0.2775
1/4/2005,9:00:00,1.8546,0.4775
1/4/2005,10:00:00,1.3874,0.6394
1/4/2005,11:00:00,1.1804,0.7519
1/4/2005,12:00:00,1.0995,0.8074
1/4/2005,13:00:00,1.1068,0.8021
1/4/2005,14:00:00,1.2054,0.7363
1/4/2005,15:00:00,1.4433,0.6145
1/4/2005,16:00:00,1.9884,0.4451
1/4/2005,17:00:00,3.6472,0.2398
1/4/2005,18:00:00,23.6009,0.0170
1/4/2005,19:00:00,-1.0000,-0.1559
1/4/2005,20:00:00,-1.0000,-0.1559
1/4/2005,21:00:00,-1.0000,-0.1559
1/4/2005,22:00:00,-1.0000,-0.1559
1/4/2005,23:00:00,-1.0000,-0.1559
1/5/2005,0:00:00,-1.0000,-0.1559
1/5/2005,1:00:00,-1.0000,-0.1559
1/5/2005,2:00:00,-1.0000,-0.1559
1/5/2005,3:00:00,-1.0000,-0.1559
1/5/2005,4:00:00,-1.0000,-0.1559
1/5/2005,5:00:00,-1.0000,-0.1559
1/5/2005,6:00:00,-1.0000,-0.1559
1/5/2005,7:00:00,13.2052,0.0538
1/5/2005,8:00:00,3.1760,0.2766
1/5/2005,9:00:00,1.8567,0.4770
1/5/2005,10:00:00,1.3876,0.6393
1/5/2005,11:00:00,1.1798,0.7524
1/5/2005,12:00:00,1.0982,0.8084
1/5/2005,13:00:00,1.1049,0.8035
1/5/2005,14:00:00,1.2025,0.7381
1/5/2005,15:00:00,1.4385,0.6166
1/5/2005,16:00:00,1.9785,0.4474
1/5/2005,17:00:00,3.6138,0.2421
1/5/2005,18:00:00,22.7100,0.0190
1/5/2005,19:00:00,-1.0000,-0.1559
1/5/2005,20:00:00,-1.0000,-0.1559
1/5/2005,21:00:00,-1.0000,-0.1559
1/5/2005,22:00:00,-1.0000,-0.1559
1/5/2005,23:00:00,-1.0000,-0.1559
1/6/2005,0:00:00,-1.0000,-0.1559
1/6/2005,1:00:00,-1.0000,-0.1559
1/6/2005,2:00:00,-1.0000,-0.1559
1/6/2005,3:00:00,-1.0000,-0.1559
1/6/2005,4:00:00,-1.0000,-0.1559
1/6/2005,5:00:00,-1.0000,-0.1559
1/6/2005,6:00:00,-1.0000,-0.1559
1/6/2005,7:00:00,13.4004,0.0527
1/6/2005,8:00:00,3.1857,0.2757
1/6/2005,9:00:00,1.8585,0.4765
1/6/2005,10:00:00,1.3876,0.6393
1/6/2005,11:00:00,1.1790,0.7529
1/6/2005,12:00:00,1.0969,0.8094
1/6/2005,13:00:00,1.1029,0.8049
1/6/2005,14:00:00,1.1995,0.7399
1/6/2005,15:00:00,1.4336,0.6187
1/6/2005,16:00:00,1.9686,0.4496
1/6/2005,17:00:00,3.5807,0.2444
1/6/2005,18:00:00,21.8654,0.0210
1/6/2005,19:00:00,-1.0000,-0.1559
1/6/2005,20:00:00,-1.0000,-0.1559
1/6/2005,21:00:00,-1.0000,-0.1559
1/6/2005,22:00:00,-1.0000,-0.1559
1/6/2005,23:00:00,-1.0000,-0.1559
1/7/2005,0:00:00,-1.0000,-0.1559
1/7/2005,1:00:00,-1.0000,-0.1559
1/7/2005,2:00:00,-1.0000,-0.1559
1/7/2005,3:00:00,-1.0000,-0.1559
1/7/2005,4:00:00,-1.0000,-0.1559
1/7/2005,5:00:00,-1.0000,-0.1559
1/7/2005,6:00:00,-1.0000,-0.1559
1/7/2005,7:00:00,13.5904,0.0516
1/7/2005,8:00:00,3.1947,0.2749
1/7/2005,9:00:00,1.8600,0.4761
1/7/2005,10:00:00,1.3874,0.6394
1/7/2005,11:00:00,1.1781,0.7534
1/7/2005,12:00:00,1.0954,0.8104
1/7/2005,13:00:00,1.1008,0.8064
1/7/2005,14:00:00,1.1965,0.7418
1/7/2005,15:00:00,1.4287,0.6209
1/7/2005,16:00:00,1.9586,0.4519
1/7/2005,17:00:00,3.5479,0.2468
1/7/2005,18:00:00,21.0657,0.0231
1/7/2005,19:00:00,-1.0000,-0.1559
1/7/2005,20:00:00,-1.0000,-0.1559
1/7/2005,21:00:00,-1.0000,-0.1559
1/7/2005,22:00:00,-1.0000,-0.1559
1/7/2005,23:00:00,-1.0000,-0.1559
1/8/2005,0:00:00,-1.0000,-0.1559
1/8/2005,1:00:00,-1.0000,-0.1559
1/8/2005,2:00:00,-1.0000,-0.1559
1/8/2005,3:00:00,-1.0000,-0.1559
1/8/2005,4:00:00,-1.0000,-0.1559
1/8/2005,5:00:00,-1.0000,-0.1559
1/8/2005,6:00:00,-1.0000,-0.1559
1/8/2005,7:00:00,13.7744,0.0506
1/8/2005,8:00:00,3.2030,0.2742
1/8/2005,9:00:00,1.8612,0.4758
1/8/2005,10:00:00,1.3871,0.6396
1/8/2005,11:00:00,1.1771,0.7541
1/8/2005,12:00:00,1.0939,0.8116
1/8/2005,13:00:00,1.0987,0.8080
1/8/2005,14:00:00,1.1934,0.7437
1/8/2005,15:00:00,1.4237,0.6231
